"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1839463550039040127","Fri Sep 27 06:12:00 +0000 2024","0","@qudsn Dua cara yang sangat kuat dalam menghentikan agresi Israel; Gerakan bersenjata dan boikot terhadap Israel serta sekutunya. #LanjutBoikotIsrael","1839548524481896589","","qudsn","in","Indonesia","0","0","1","https://x.com/InsanSabur/status/1839548524481896589","1318885797001658375","InsanSabur"
"1839548506467418272","Fri Sep 27 06:11:55 +0000 2024","0","Dua cara yang sangat kuat dalam menghentikan agresi Israel; Gerakan bersenjata dan boikot terhadap Israel serta sekutunya. #LanjutBoikotIsrael https://t.co/Cxz9u68WT3","1839548506467418272","https://pbs.twimg.com/amplify_video_thumb/1839463415229607937/img/iuYUnc5p6X84s0PS.jpg","","in","Indonesia","0","0","0","https://x.com/InsanSabur/status/1839548506467418272","1318885797001658375","InsanSabur"
"1839532233343873215","Fri Sep 27 06:11:39 +0000 2024","0","@Midahlan75 Dua pendekatan yang sangat efektif untuk menghentikan agresi Israel; Aksi militer dan boikot kepada Israel serta pihak-pihak yang mendukungnya. #LanjutBoikotIsrael","1839548439123636374","","Midahlan75","in","Indonesia","0","0","0","https://x.com/InsanSabur/status/1839548439123636374","1318885797001658375","InsanSabur"
"1839548417841787118","Fri Sep 27 06:11:34 +0000 2024","0","Dua pendekatan yang sangat efektif untuk menghentikan agresi Israel; Aksi militer dan boikot kepada Israel serta pihak-pihak yang mendukungnya. #LanjutBoikotIsrael https://t.co/rwQQOzXPFD","1839548417841787118","https://pbs.twimg.com/ext_tw_video_thumb/1839532023507275776/pu/img/_IJV8nETjWPmaqvT.jpg","","in","Indonesia","0","0","0","https://x.com/InsanSabur/status/1839548417841787118","1318885797001658375","InsanSabur"
"1839540207760085010","Fri Sep 27 06:10:58 +0000 2024","0","@EyeonPalestine Dua aksi besar yang punya kekuatan untuk menghentikan agresi Israel; Tindakan militer dan boikot kepada Israel serta pendukungnya. #LanjutBoikotIsrael","1839548265194217745","","EyeonPalestine","in","Indonesia","0","0","0","https://x.com/InsanSabur/status/1839548265194217745","1318885797001658375","InsanSabur"
"1839548241844564160","Fri Sep 27 06:10:52 +0000 2024","0","Dua aksi besar yang punya kekuatan untuk menghentikan agresi Israel; Tindakan militer dan boikot kepada Israel serta pendukungnya. #LanjutBoikotIsrael https://t.co/1SsjxdnB9S","1839548241844564160","https://pbs.twimg.com/amplify_video_thumb/1839540059357491200/img/gtuPF8-3UgxUcVzS.jpg","","in","Indonesia","0","0","0","https://x.com/InsanSabur/status/1839548241844564160","1318885797001658375","InsanSabur"
"1839547994040922151","Fri Sep 27 06:09:53 +0000 2024","0","Dua cara yang punya kekuatan besar untuk menghentikan serangan Israel; Perjuangan militer dan boikot kepada Israel serta para pendukungnya. #LanjutBoikotIsrael https://t.co/9WZxSa9W14","1839547994040922151","https://pbs.twimg.com/amplify_video_thumb/1839525763638517760/img/TExhmVPValrK2pOE.jpg","","in","Indonesia","0","0","0","https://x.com/InsanSabur/status/1839547994040922151","1318885797001658375","InsanSabur"
"1839532809750487114","Fri Sep 27 06:09:11 +0000 2024","0","@QuickHeadlineX Dua strategi yang efektif dalam menghentikan serangan Israel; Perlawanan militer dan boikot kepada Israel serta pendukungnya. #LanjutBoikotIsrael","1839547818840592430","","NewsHeadlineX","in","Indonesia","0","0","0","https://x.com/InsanSabur/status/1839547818840592430","1318885797001658375","InsanSabur"
"1839547799379091659","Fri Sep 27 06:09:07 +0000 2024","0","Dua strategi yang efektif dalam menghentikan serangan Israel; Perlawanan militer dan boikot kepada Israel serta pendukungnya. #LanjutBoikotIsrael https://t.co/ChdAWqlJEy","1839547799379091659","","","in","Indonesia","0","0","0","https://x.com/InsanSabur/status/1839547799379091659","1318885797001658375","InsanSabur"
"1739616801800020274","Fri Sep 27 06:05:43 +0000 2024","0","@Fio_edwards Dua tindakan yang punya dampak besar untuk menghentikan serangan Israel; Gerakan militer dan boikot terhadap Israel serta pendukungnya. #LanjutBoikotIsrael","1839546943720116550","","Fio_edwards","in","Indonesia","0","0","0","https://x.com/InsanSabur/status/1839546943720116550","1318885797001658375","InsanSabur"
"1817882310886244647","Fri Sep 27 06:04:41 +0000 2024","0","@Khamenei_m Dua langkah dengan kekuatan besar untuk menghentikan serangan Israel; Perjuangan militer dan boikot terhadap Israel serta para pendukungnya. #LanjutBoikotIsrael","1839546684323360784","","Khamenei_m","in","Indonesia","0","0","0","https://x.com/InsanSabur/status/1839546684323360784","1318885797001658375","InsanSabur"
"1839546662173180229","Fri Sep 27 06:04:36 +0000 2024","0","Dua langkah dengan kekuatan besar untuk menghentikan serangan Israel; Perjuangan militer dan boikot terhadap Israel serta para pendukungnya. #LanjutBoikotIsrael https://t.co/LYXvXN2UwO","1839546662173180229","https://pbs.twimg.com/ext_tw_video_thumb/1817882232712822784/pu/img/YnPajl4rEFtpzpJY.jpg","","in","Indonesia","0","0","0","https://x.com/InsanSabur/status/1839546662173180229","1318885797001658375","InsanSabur"
"1839546421059391872","Fri Sep 27 06:03:38 +0000 2024","0","Dua cara yang punya kekuatan besar untuk menghentikan agresi Israel; Aksi militer dan boikot terhadap Israel serta pihak-pihak yang mendukungnya. #LanjutBoikotIsrael https://t.co/JPJz0hIr4M","1839546421059391872","https://pbs.twimg.com/amplify_video_thumb/1715860562490376192/img/zpCf-ADoH6Hsur_w.jpg","","in","Indonesia","0","1","0","https://x.com/InsanSabur/status/1839546421059391872","1318885797001658375","InsanSabur"
"1839546272073527714","Fri Sep 27 06:03:03 +0000 2024","2","Dua aksi yang memiliki pengaruh besar untuk menghentikan serangan Israel; Gerakan militer dan boikot terhadap Israel serta pendukungnya. #LanjutBoikotIsrael","1839546272073527714","","","in","Indonesia","0","0","1","https://x.com/InsanSabur/status/1839546272073527714","1318885797001658375","InsanSabur"
"1839546075461386751","Fri Sep 27 06:02:16 +0000 2024","3","Dua tindakan yang memiliki pengaruh kuat dalam menghentikan agresi Israel; Perlawanan militer serta boikot terhadap Israel dan pendukungnya. #LanjutBoikotIsrael https://t.co/zDOiCVRJx3","1839546075461386751","https://pbs.twimg.com/amplify_video_thumb/1839278034731278336/img/NuMpBExWl3Ur01Aj.jpg","","in","Indonesia","0","1","2","https://x.com/InsanSabur/status/1839546075461386751","1318885797001658375","InsanSabur"
"1839545913624154602","Fri Sep 27 06:01:37 +0000 2024","2","Dua aksi yang mempunyai kekuatan besar untuk menghentikan serangan Israel; Aksi militer dan boikot terhadap Israel serta pihak yang mendukung Israel. #LanjutBoikotIsrael https://t.co/gPCKmFMK9F","1839545913624154602","https://pbs.twimg.com/amplify_video_thumb/1839274361976406016/img/-6OM-TjnJc5AKpfX.jpg","","in","Indonesia","0","1","1","https://x.com/InsanSabur/status/1839545913624154602","1318885797001658375","InsanSabur"
"1839511349711544467","Fri Sep 27 05:15:47 +0000 2024","3","@KaixaVtuber Boikot terus #BantengBelaMatiKoruptor #FufufafaAibNasional 25 September 2024: Kemiskinan Mengancam Israel Ekonomi Terpuruk Akibat Perang Gaza https://t.co/cW8jiHE25J","1839534380118843539","","KaixaVtuber","in","","0","1","1","https://x.com/WakandaNM__/status/1839534380118843539","1786494216383639552","WakandaNM__"
"1839495088495575111","Fri Sep 27 04:49:19 +0000 2024","1","@AcruqAxl Aku bingung mau jawab darimana dari segi apa dari kacamata apa. Hm. Kalau dari aku sih boikot semampunya semua brand yang ada affiliate ke israel secara umum. Kemudian diusahakan dengan sangat boikot brand yang disebut BDS secara khusus.","1839527719836766319","","AcruqAxl","in","","0","0","0","https://x.com/fan_kkura73/status/1839527719836766319","1531863379874578432","fan_kkura73"
"1839515270920261858","Fri Sep 27 03:59:51 +0000 2024","2","Pergerakan boikot Israel itu turut mempersoalkan penafian syarikat yang dinamakan dalam laporan polisnya. #Israel #Palestin #BDSMalaysia #jenayahperang #NazariIsmail #MVKathrin https://t.co/Om5rlKxXoZ","1839515270920261858","","","in","Kuala Lumpur, Malaysia ","0","0","1","https://x.com/MNowNews/status/1839515270920261858","1346353472183013376","MNowNews"
"1838860299191095385","Fri Sep 27 03:34:07 +0000 2024","0","@ibjela nk boikot israel ke x nak anak2 autism ke pandai2 la kontrol anak2 n explain kat anak2. kalau dpt jajan or sweet smpai penuh 1 beg ikea x nak bg anak2 makan sedekah bg anak2 jiran makan. benda blh tolerate just don't be too stringent kot","1839508793853354203","","shukrichemamat","in","Abu Dhabi, United Arab Emirate","0","0","0","https://x.com/shukrichemamat/status/1839508793853354203","1941181279","shukrichemamat"
"1839487924372730274","Fri Sep 27 02:28:06 +0000 2024","2","@KroniRakyat @wanfayhsal iPhone mat jargon pegang pun ada kaitan Israel kan? Dia tak boikot ke? ","1839492180420993170","","KroniRakyat","in","","0","0","0","https://x.com/lehagape/status/1839492180420993170","1167527204374269953","lehagape"
"1839472234001543247","Fri Sep 27 01:08:50 +0000 2024","0","Gerakan Global boikot produk2 dari israel dan AS. Membeli sama aja mendukung pengiriman senjata ke Israel untuk membunuh anak2 dan perempuan.... Presiden Palestina: Hentikan Pengiriman Senjata ke Israel! https://t.co/1cKo4U0sCH","1839472234001543247","","","in","","0","0","0","https://x.com/PZoill94844/status/1839472234001543247","1658157848210337794","PZoill94844"
"1839249859536118204","Thu Sep 26 23:39:37 +0000 2024","0","@tanyarlfes Semoga cepet ketemu ya nderrr Gpp urusin dulu majikan kesayanganmu gw juga kelahiran segitu masih bekerja buat majikan biar sehat dan semakin montok https://t.co/j4jzn07KcX","1839449779857948998","https://pbs.twimg.com/media/GYcJ03sa4AEuc82.jpg","tanyarlfes","in","","0","0","0","https://x.com/theycallme_gaez/status/1839449779857948998","1544186085408145408","theycallme_gaez"
"1836029258134704334","Thu Sep 26 17:22:40 +0000 2024","3","@AnnaliseRahman @sareyros Kalau nak ikutkan FB Whatsapp and IG pun patut kena boikot sebab platform tu ada kaitan dengan BlackRock yang support Israel. Tapi orang tetap guna. Pelik dorang ni tak check dulu ke brand betul yang sapot genocide dengan tak","1839354917557072332","","AnnaliseRahman","in","","0","1","0","https://x.com/madikacak/status/1839354917557072332","1495768006324256768","madikacak"
"1839321185647280255","Thu Sep 26 15:08:38 +0000 2024","44","Kalo mau boikot ya semua artis agensi kuning diboikot. Jangan nargetin 1 artis tertentu aja. Keliatan bgt poin lu kirim menfess ini buat send hate personal ke mereka bukan bener2 aware sama masalah boikot. Bruno Mars yg terang2an dukung israel aja kemaren sepi dah menfessnya-","1839321185647280255","","","in","","1","3","2","https://x.com/sheirennes/status/1839321185647280255","1858028616","sheirennes"
"1838437141808058613","Thu Sep 26 15:05:05 +0000 2024","0","@irraeyo @dewapuci Peduli itu perlu aku jg pro palestine. Tapi kalo minta balasan nyawa itu yg salah. Tugas kita sekarang itu boikot lawan di sidang pbb lewat perwakilan suarakan terus kebebasan palestina. Bukannya berharap bom balik israel kalo gitu berarti kita juga nirempati. Iblis jg kita","1839320293191606474","","irraeyo","in","Kota Bengkulu, Bengkulu ","0","1","0","https://x.com/kurniawanmhmmd/status/1839320293191606474","778598961066020864","kurniawanmhmmd"
"1839092566572044447","Thu Sep 26 14:27:27 +0000 2024","0","@tanyarlfes Kalo diminum pas masih masa pertumbuhan ngaruh ke tinggi badan ngga sih? Pliss aku ga tau kasih tau dong ngaruh apa engga https://t.co/mWK4lNp5Fh","1839310821077430652","https://pbs.twimg.com/media/GYaLcbEaMAwGCKM.jpg","tanyarlfes","in","","0","0","0","https://x.com/theycallme_gaez/status/1839310821077430652","1544186085408145408","theycallme_gaez"
"1838867300100767863","Wed Sep 25 16:27:35 +0000 2024","0","@DrLoupis @McDonalds Tidak berpengaruh boikot produk. Kenyataan itu lisensie produk. Jadiiii. Ayooo gunakan produk israel kwalitas dan mutu produk Jangan percaya boikot-boikot produk isra mereka munafik ","1838978669303476400","","DrLoupis","in","Samudra Hindia","0","0","0","https://x.com/_J4R3M4/status/1838978669303476400","1399211972537716742","_J4R3M4"
"1838968131701866840","Wed Sep 25 15:45:43 +0000 2024","65","Lanjutkan boikot sampai Israel musnah https://t.co/Y3LqCxUJId","1838968131701866840","https://pbs.twimg.com/ext_tw_video_thumb/1838968072318652416/pu/img/uOwkuYclx21utMGF.jpg","","in","Ruwetnesia","2","2","46","https://x.com/NikoAkmal/status/1838968131701866840","1345745587","NikoAkmal"
"1838914922471895041","Wed Sep 25 15:41:59 +0000 2024","19","PART 4 Imam Besar masjid istiqlal TERBUKTI memiliki KERJASAMA dengan ISRAEL Bahkan masjid istiqlal sendiri bagi2 makanan produk2 boikot seperti KFC MCD dan PIZZA https://t.co/RLOeiSdWFB","1838967192207130756","https://pbs.twimg.com/ext_tw_video_thumb/1838966440637943809/pu/img/doZqYywFqyzeLAbJ.jpg","ukhty_onya","in","Bumi Allaah ","0","0","11","https://x.com/ukhty_onya/status/1838967192207130756","251203651","ukhty_onya"
"1838449395987288266","Wed Sep 25 14:51:48 +0000 2024","0","@cukSJWcuk @ApriliaLin Yang gak suka pdip boikot pildun u20 lo tolol semua disitu ada Israel sang penyiksaan rakyat Palestina lo ketawa2 Israel main bola di Indonesia supporter bola banyak yang tolol gak heran rusuh mulu sekarang Israel bantai Palestina pemikiran cerdas pdip tolak u20","1838954562973024541","","cukSJWcuk","in","","0","0","0","https://x.com/Bulejo1/status/1838954562973024541","1527195369053966336","Bulejo1"
"1838953528674701649","Wed Sep 25 14:47:41 +0000 2024","1","cuma mau ingetin temen-temen di sini supaya makin giat boikot produk di list BDS ya. yg belom boikot supaya ikut boikot juga. sekarang israel lagi sering ngebom daerah lebanon. bukti kalo mereka emang beneran genosidal &amp; serakah juga egois","1838953528674701649","","","in","rant, personal, fan account","0","0","0","https://x.com/813amkst/status/1838953528674701649","1653046983354126338","813amkst"
"1838907072832004128","Wed Sep 25 11:43:06 +0000 2024","1","McDonald's keparat ni bukan salahkan Israel tapi orang Islam. Teruskan boikot sehingga semua brand zionis ni melingkup.","1838907072832004128","","","in","Kuala Lumpur Federal Territory","0","0","1","https://x.com/mzukijaafar/status/1838907072832004128","935873013353820160","mzukijaafar"
